Query,Category
Attend a 4-hour music festival from 2:00 PM to 6:00 PM on September 8th.,1
Participate in a 1-hour group therapy session at 11:00 AM every Tuesday.,2
"Take a 1-hour yoga class at 7:00 AM every Monday, Wednesday, and Friday.",2
Attend a 30-minute doctor's appointment at 2:30 PM on May 10th.,1
Visit a museum for 2 hours from 10:00 AM to 12:00 PM on July 3rd.,1
Attend a 2-hour wedding ceremony from 3:00 PM to 5:00 PM on June 1st.,1
Participate in a 45-minute workout class at 5:30 PM every Thursday.,2
Take a 10-minute coffee break during a 4-hour shift at 10:00 AM every day.,2
Attend a 3-hour sports game at 7:00 PM on August 10th.,1
Take a 20-minute nap during a lunch break from 12:00 PM to 12:20 PM every day.,2
Attend a conference on environmental sustainability from 9:00 AM to 5:00 PM on May 10th.,1
Participate in a community service project at the local shelter from 10:00 AM to 12:00 PM on April 15th.,1
Attend a concert featuring Alan Walker at 7:00 PM on July 20th.,1
Participate in a charity run to raise funds for cancer research at 8:00 AM on June 5th.,1
Attend a workshop on financial planning from 1:00 PM to 4:00 PM on August 12th.,1
Participate in a debate competition at school from 9:00 AM to 12:00 PM on April 30th.,1
Attend a seminar on leadership and communication skills from 9:00 AM to 12:00 PM on July 15th.,1
Participate in a cooking class to learn new recipes from 6:00 PM to 8:00 PM every Monday.,2
Attend a yoga retreat from 9:00 AM  to 5:00 PM on May 25th,1
Participate in a book club to discuss and analyze literature at 7:00 PM for 1 hour every third Wednesday.,2
Attend a networking event from 6:00 PM to 8:00 PM on June 10th.,1
Participate in a dance competition from 2:00 PM to 6:00 PM on July 8th.,1
Attend a webinar on digital marketing strategies from 10:00 AM to 11:00 AM on August 1st.,1
Participate in a public speaking contest from 2:00 PM to 4:00 PM on April 20th.,1
Attend a film festival from 12:00 PM to 8:00 PM on September 1st and 2nd.,1
Participate in a language exchange program from 6:00 PM to 8:00 PM every Tuesday and Thursday.,2
Attend a science fair from 10:00 AM to 2:00 PM on May 15th.,1
Participate in a sports tournament from 9:00 AM to 5:00 PM on July 22nd.,1
Attend a museum exhibition from 9:00 AM to 5:00 PM every day from June 1st to July 31st.,2
Conduct a scientific research project on a specific topic.,3
Conduct a market research project to explore consumer preferences for a new product.,3
Create a branding and marketing campaign for a non-profit organization.,3
Write a novel and prepare it for publication with Hachette.,3
Develop a new menu for my restaurant and implement it.,3
Create a new digital product for Surge.,3
Conduct a feasibility study for a new business venture.,3
Create an e-commerce website for a small business.,3
Produce a documentary film on a social issue or topic.,3
Develop a new manufacturing process for a consumer product.,3
Design and construct an urban park for a city.,3
Develop and implement a social media strategy for a brand or business.,3
Create a sustainable clothing brand that uses eco-friendly materials.,4
Open a food truck business that serves vegan and vegetarian cuisine.,4
Start a virtual event planning and coordination business.,4
Launch a social media management company for small businesses.,4
Develop a line of premium pet products and accessories.,4
Open a boutique gym that specializes in high-intensity interval training (HIIT).,4
Start a boutique marketing agency that specializes in influencer marketing.,4
Create an online marketplace for handmade and artisanal products.,4
Open a specialty coffee shop that serves single-origin coffee from around the world.,4
Launch a virtual tutoring and test prep company for K-12 students.,4
Start a personalized meal delivery service that caters to dietary restrictions.,4
Launch a business that offers custom home organization.,4
Open a coworking space that caters to artists and creatives.,4
Start a luxury travel concierge service that curates personalized travel experiences.,4
Create a mobile car detailing business that uses waterless cleaning methods,4
Launch a home cleaning and organization service that uses eco-friendly cleaning products.,4
Open a boutique fitness studio that offers Pilates and yoga classes.,4
Start a health and wellness coaching business that focuses on mental health.,4
Complete a 30-minute workout at the gym from 7:00am to 7:30am everyday.,2
Respond to work emails today for 45 minutes from 9:00am to 9:45am.,0
Cook and eat breakfast everyday for 30 minutes from 8:00am to 8:30am.,2
Attend a 2-hour team meeting on March 13th from 10:00am to 12:00pm.,1
Clean the kitchen tomorrow for 45 minutes from 1:00pm to 1:45pm.,0
Write a blog post for 1 hour today from 2:00pm to 3:00pm.,0
Complete a 30-minute phone call today from 3:00pm to 3:30pm.,0
Attend a 1-hour doctor's appointment on March 3rd from 4:00pm to 5:00pm.,1
Shop for groceries for 45 minutes tomorrow from 6:00pm to 6:45pm.,0
Prepare and eat dinner for 1 hour today from 7:00pm to 8:00pm.,0
Attend a 2-hour concert on August 12th from 8:00pm to 10:00pm.,1
Take a 30-minute break from work every Monday and Thursday from 10:00am to 10:30am.,2
Attend a 1-hour networking event today from 6:00pm to 7:00pm.,1
Clean the bathroom for 30 minutes everyday from 2:00pm to 2:30pm,2
Complete a 5k race within 30 minutes from 8:30 am to 9:00 am on April 15th.,0
Attend a 2-hour wedding rehearsal dinner at 7:00 pm on June 10th.,1
Take a 10-minute quiz in class on September 20th at 4:00 pm.,0
Participate in a 1-hour escape room challenge at 3:00 pm on November 3rd.,1
Deliver a 20-minute keynote speech at a conference on July 1st from 8:20 am to 8:40 am.,0
Take a 15-minute break during the workday on October 8th at 4:00 pm.,0
Complete a 3-hour exam for a certification on May 12th at 8:00 am.,0
Attend a 4-hour music concert on August 5th.,1
Participate in a 30-minute job interview at 3:00 pm on June 1st.,0
Visit a theme park for 6 hours on July 22nd at 8:30 am.,1
Attend a 1-hour parent-teacher conference on October 19th at 12:30 pm.,1
Take a 30-minute ride on a helicopter tour on September 3rd at 4:30 pm.,0
Participate in a 2-hour cooking class on December 7th at 3:00 pm.,1
Attend a 90-minute theater performance on November 18th at 12:45 pm.,1
Deliver a 1-hour training session at work on May 5th at 11:00 am.,0
Take a 5-minute pitch for a business idea on August 31st at 3:35 pm.,0
Visit an art gallery for 1 hour on October 27th at 11:20 am.,1
Participate in a 45-minute group counseling session at 3:50 pm on September 15th.,1
Take a 20-minute guided meditation at 12:00 pm on December 21st.,0
Attend a 2-hour high school graduation ceremony at 9:30 am on June 5th.,1
"Wake up at 6:00 AM, get ready for work, and leave the house at 7:00 AM everyday.",2
Exercise from 8:00 AM to 9:00 AM everyday.,2
"Work from 9:00 AM to 5:00 PM, take a 30-minute lunch break at noon.",2
Attend a yoga class today from 6:00 PM to 7:00 PM .,1
"Watch TV from 8:00 PM to 10:00 PM, and go to bed at 11:00 PM.",2
Go for a morning run from 7:30 AM to 8:30 AM.,2
Attend a staff meeting from 2:00 PM to 3:00 PM every Monday.,2
Study from 6:00 PM to 8:00 PM everyday.,2
